SONG_ID,TITLE,ARTIST,ALBUM,URL,FILE_NAME,SONG_DURATION,BITRATE
956,Revolution,Burden|Hand,Live at Blakes On Telegraph on 2005-07-27,http://www.archive.org/download/brdnhand2005-07-27.shnf/brdnhand2005-07-27d1t03_vbr.mp3,Burden|Hand_Revolution.mp3,320,186597
958,Rap Medley,5point,Live at Villanova University on 2008-10-23,http://www.archive.org/download/5point2008-10-23/2008-10-23d01t03_vbr.mp3,5point_RapMedley.mp3,344,218814
960,Woman Across The River,Absolute Gruv,Live at Trocadero's on 2008-12-31,http://www.archive.org/download/ag2008-12-31.WYE.flac16/ag2008-12-31d1t09.WYE_vbr.mp3,AbsoluteGruv_WomanAcrossTheRiver.mp3,293,222707
962,?,Afrissippi,Live at The Thirsty Hippo on 2007-03-22,http://www.archive.org/download/afri2007-03-22.akg463.flac16/afri2007-03-22d2t03_vbr.mp3,Afrissippi_?.mp3,579,205523
964,Encore Break Crowd Noise,Against Me!, Live at Majestic Theater on 2008-10-18,http://www.archive.org/download/am2008-10-18.prisoncity/am2008-10-18-t18_vbr.mp3,AgainstMe!_EncoreBreakCrowdNoise.mp3,161,186964
966,drums_space>,Akidna Pillow,Live at Bear Creek Amphitheatre on 1998-08-07,http://www.archive.org/download/ap1998-08-07/ap1998-08-07d2t01_vbr.mp3,AkidnaPillow_drums_space>.mp3,557,226494
968,Quinn the Eskimo The Mighty Quinn,Al and the Transamericans,Live at B.B. King's Blues Club on 2003-11-28,http://www.archive.org/download/ALTA2003-11-28.mg210.shnf/ALTA2003-11-28d1.shnf/ALTA2003-11-28d1t10_vbr.mp3,AlandtheTransamericans_QuinntheEskimoTheMightyQuinn.mp3,377,218992
970,Should I stay or should I go,All Mighty Senators,Live at The Funk Box on 2003-11-29,http://www.archive.org/download/ams2003-11-29.shn/ams2003-11-29d2/Track0106_vbr.mp3,AllMightySenators_ShouldIstayorshouldIgo.mp3,132,195855
972,High Mountain Girls Can Love*,Almost Acoustic Band,Live at Crawdaddy's on 2004-02-14,http://www.archive.org/download/aab2004-02-14.shnf/aab2004-02-14d3t06_vbr.mp3,AlmostAcousticBand_HighMountainGirlsCanLove*.mp3,210,147216
974,Never Been in love,Anna Troy,Live at Twiggs' Green Room on 2004-01-03,http://www.archive.org/download/atroy2004-01-03.at831.shnf/atroy2004-01-03d1t02_vbr.mp3,AnnaTroy_NeverBeeninlove.mp3,217,176348
976,Morning Dew,Art Matthies,Live at Frontier ranch Hookahville on 2005-09-03,http://www.archive.org/download/ArtMatthies2005-09-03/artmatthies2005-09-03t08_vbr.mp3,ArtMatthies_MorningDew.mp3,244,182345
978,astralproject20030326t02shn,Astral Project,Live at Proud Larrys on 2003-03-26,http://www.archive.org/download/astralProject2003-03-26.shnf/astralproject2003-03-26t02_vbr.mp3,AstralProject_astralproject20030326t02shn.mp3,697,188497
980,Georgia Peach w_Scott Stiert,August Solstice,Live at Huron County Fairgrounds on 2009-09-12,http://www.archive.org/download/asolstice2009-09-12.flac/2009-09-12t08_vbr.mp3,AugustSolstice_GeorgiaPeachw_ScottStiert.mp3,253,133682
982,Tupelo Honey,BLT,Live at Winners on 2003-02-04,http://www.archive.org/download/blt2003-02-04.shnf/blt2003-02-04d1t02_vbr.mp3,BLT_TupeloHoney.mp3,376,180707
984,Scuba Snacks,Baghdad Scuba Review,Live at High Noon Saloon on 2008-01-11,http://www.archive.org/download/bsr2008-01-11/BaghdadScubaReview2008-01-11t06_vbr.mp3,BaghdadScubaReview_ScubaSnacks.mp3,463,190409
986,bip20090524t07flac,Bankrupt in Panama,Live at Bella Madre - Campground Jam on 2009-05-24,http://www.archive.org/download/bip2009-05-24/bip2009-05-24t07_vbr.mp3,BankruptinPanama_bip20090524t07flac.mp3,556,171169
988,Wondering Where The Lions Are Bruce Cockburn,Barefootin,Live at Lose Yer Shoes Music Festival on 2006-08-12,http://www.archive.org/download/barefootin2006-08-12.shnf/barefootin2006-08-12t04_vbr.mp3,Barefootin_WonderingWhereTheLionsAreBruceCockburn.mp3,407,136055
990,COMING DOWN,Barry And The Penetrators,Live at Harrys Roadhouse on 2004-04-02,http://www.archive.org/download/batp2004-04-02d1.shnf/batp2004-04-02d1t01_vbr.mp3,BarryAndThePenetrators_COMINGDOWN.mp3,196,198424
992,Mexican Radio,Basement Generals,Live at The Saint on 2010-02-04,http://www.archive.org/download/BG2010-02-04.sbd/04MexicanRadio.mp3,BasementGenerals_MexicanRadio.mp3,261,128000
994,Creative Process,Beefy,Live at Rendezvous Jewelbox Theater on 2008-06-12,http://www.archive.org/download/beefy2008-06-12.flac16/beefy2008-06-12t09_vbr.mp3,Beefy_CreativeProcess.mp3,248,188718
996,A Lack of Color,Ben Gibbard,Live at Theatre of the Living Arts on 2007-05-09,http://www.archive.org/download/bengibbard2007-05-09.flac16/bengibbard2007-05-09t18_vbr.mp3,BenGibbard_ALackofColor.mp3,217,198633
998,They Love Each Other,Big Blue,Live at Gorges Music Park on 2006-06-04,http://www.archive.org/download/bigblue2006-06-04.ak40.flac16/bigblue2006-06-04t04_vbr.mp3,BigBlue_TheyLoveEachOther.mp3,471,214314
1000,Hideout** 6:39,Big Island Shindig,Live at Conan's Pub on 2005-03-26,http://www.archive.org/download/bis2005-03-26.aud.flac16/bis2005-03-26d1t08_vbr.mp3,BigIslandShindig_Hideout**6:39.mp3,399,128592
1002,Dont Look Me In The Eye,Big Side Left,Live at Watkins Landing on 2008-02-05,http://www.archive.org/download/BSL2008-02-05/BSL.2008.02.05.D1T5.DontLookMeInTheEye_vbr.mp3,BigSideLeft_DontLookMeInTheEye.mp3,407,74955
1004,Fearless,Big Whiskey,Live at Caseys Bar on 2006-03-25,http://www.archive.org/download/BW2006-03-25.Big_Whiskey.Caseys/BW2006-03-25d01t07_vbr.mp3,BigWhiskey_Fearless.mp3,288,128309
1006,The Navy Song,Billy Talent,Live at Rexall Place on 2007-01-25,http://www.archive.org/download/btalent2007-01-25.aud.flac16/BillyTalent2007-01-25t06.mp3,BillyTalent_TheNavySong.mp3,258,234783
